Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
709173,KW1PrdApp01,KW1,NULL,00:00.0,NULL,08:17.8,NULL,00:00.0,NULL,00:00.0
709176,OS1PrdApp01,OS1,NULL,00:00.0,NULL,54:08.6,NULL,00:00.0,NULL,00:00.0
709185,CQ1PrdApp01,CQ1,NULL,00:00.0,NULL,22:15.7,NULL,00:00.0,NULL,00:00.0
709191,BL2PrdApp08,BL2,NULL,00:00.0,NULL,05:21.0,NULL,00:00.0,NULL,00:00.0
709194,BL2PrdApp13,BL2,NULL,00:00.0,NULL,30:48.0,NULL,00:00.0,NULL,00:00.0
709198,BY1PrdAPP14,BY1,NULL,00:00.0,NULL,36:02.8,NULL,00:00.0,NULL,00:00.0
709201,SN3PrdApp02,SN3,NULL,00:00.0,NULL,22:16.9,NULL,00:00.0,NULL,00:00.0
709202,SN3PrdApp01,SN3,NULL,00:00.0,NULL,28:41.8,NULL,00:00.0,NULL,00:00.0
709203,SN2PrdApp06,SN2,NULL,00:00.0,NULL,34:24.5,NULL,00:00.0,NULL,00:00.0
709204,CH3PrdApp04,CH3,NULL,00:00.0,NULL,04:28.2,NULL,00:00.0,NULL,00:00.0
709205,BL2PrdApp18,BL2,NULL,00:00.0,NULL,55:55.0,NULL,00:00.0,NULL,00:00.0
709206,BY3PrdApp01,BY3,NULL,00:00.0,NULL,00:27.4,NULL,00:00.0,NULL,00:00.0
709207,BY3PrdApp02,BY3,NULL,00:00.0,NULL,24:08.5,NULL,00:00.0,NULL,00:00.0
709208,SN3PrdApp06,SN3,NULL,00:00.0,NULL,09:02.4,NULL,00:00.0,NULL,00:00.0
709210,SN3PrdApp11,SN3,NULL,00:00.0,NULL,01:28.7,NULL,00:00.0,NULL,00:00.0
709211,BL2PrdApp14,BL2,NULL,00:00.0,NULL,33:15.3,NULL,00:00.0,NULL,00:00.0
709212,BY1PrdApp11,BY1,NULL,00:00.0,NULL,05:07.2,NULL,00:00.0,NULL,00:00.0
709216,SN1PrdApp03Agg05,SN1,NULL,00:00.0,NULL,53:33.5,NULL,00:00.0,NULL,00:00.0
709217,BY1PrdApp13,BY1,NULL,00:00.0,NULL,44:09.4,NULL,00:00.0,NULL,00:00.0
709221,BL3PrdApp02,BL3,NULL,00:00.0,NULL,58:59.1,NULL,00:00.0,NULL,00:00.0
709222,CH3PrdApp09,CH3,NULL,00:00.0,NULL,12:47.4,NULL,00:00.0,NULL,00:00.0
709223,SN3PrdApp10,SN3,NULL,00:00.0,NULL,02:23.6,NULL,00:00.0,NULL,00:00.0
709228,SN3PrdApp07,SN3,NULL,00:00.0,NULL,NULL,NULL,00:00.0,NULL,00:00.0
709229,BL2PrdApp15,BL2,NULL,00:00.0,NULL,28:17.4,NULL,00:00.0,NULL,00:00.0
