Code,plan_clustername,ClusterDC,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2002989,SG1PrdApp02,SG1,NULL,00:00.0,00:00.0,28:44.1,28:44.1,00:00.0,00:00.0,00:00.0
2003060,BY4PrdApp01,BY4,NULL,00:00.0,00:00.0,45:26.1,45:26.1,00:00.0,NULL,00:00.0
2003062,BN3PrdApp08,BN3,NULL,00:00.0,00:00.0,29:21.3,29:21.3,00:00.0,00:00.0,00:00.0
2003223,AM4PrdApp05,AM4,NULL,00:00.0,00:00.0,07:49.5,07:49.5,00:00.0,00:00.0,00:00.0
2003520,AM2PrdApp03,AM2,NULL,00:00.0,00:00.0,22:34.0,22:34.0,00:00.0,00:00.0,00:00.0
2003599,DM2PrdApp07,DM2,NULL,00:00.0,00:00.0,48:38.3,48:38.3,00:00.0,00:00.0,00:00.0
2003662,SN1PrdApp02Agg04,SN1,NULL,00:00.0,00:00.0,06:31.6,06:31.6,00:00.0,NULL,00:00.0
2003665,BN3PrdApp07,BN3,NULL,00:00.0,00:00.0,58:47.6,58:47.6,00:00.0,NULL,00:00.0
2003686,ML1PrdApp02,ML1,NULL,00:00.0,00:00.0,59:04.0,59:04.0,00:00.0,NULL,00:00.0
2003687,SY3PrdApp02,SY3,NULL,00:00.0,00:00.0,47:22.3,47:22.3,00:00.0,NULL,00:00.0
2003689,HK2PrdApp21,HK2,NULL,00:00.0,00:00.0,19:14.5,19:14.5,00:00.0,00:00.0,00:00.0
2003697,DM2PrdApp06,DM2,NULL,00:00.0,00:00.0,42:26.5,42:26.5,00:00.0,NULL,00:00.0
2003698,DM2PrdApp05,DM2,NULL,00:00.0,00:00.0,06:23.0,06:23.0,00:00.0,00:00.0,00:00.0
2003700,BL4PrdApp07,BL4,NULL,00:00.0,00:00.0,41:55.5,41:55.5,00:00.0,00:00.0,00:00.0
2003701,DM2PrdApp09,DM2,NULL,00:00.0,00:00.0,20:25.3,20:25.3,00:00.0,00:00.0,00:00.0
2003705,BY4PrdApp02,BY4,NULL,00:00.0,00:00.0,51:27.8,51:27.8,00:00.0,00:00.0,00:00.0
2003708,BY4PrdApp04,BY4,NULL,00:00.0,00:00.0,16:15.7,16:15.7,00:00.0,00:00.0,00:00.0
2003716,ML1PrdApp03,ML1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003718,SY3PrdApp04,SY3,NULL,00:00.0,00:00.0,26:21.9,26:21.9,00:00.0,NULL,00:00.0
2003719,SG2PrdApp27,SG2,NULL,00:00.0,00:00.0,06:23.3,06:23.3,00:00.0,00:00.0,00:00.0
2003747,DB3PrdApp03,DB3,NULL,00:00.0,00:00.0,02:09.2,02:09.2,00:00.0,00:00.0,00:00.0
2003753,DB3PrdApp02,DB3,NULL,00:00.0,00:00.0,05:10.1,05:10.1,00:00.0,00:00.0,00:00.0
2003771,BN4PrdApp05,BN4,NULL,00:00.0,00:00.0,00:31.2,00:31.2,00:00.0,00:00.0,00:00.0
2003773,DB5PrdApp08,DB5,NULL,00:00.0,00:00.0,04:57.5,04:57.5,00:00.0,00:00.0,00:00.0
2003780,BY4PrdApp03,BY4,NULL,00:00.0,00:00.0,19:00.6,19:00.6,00:00.0,00:00.0,00:00.0
2003792,PN1PrdApp03 GEN4.0,PN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003820,BM1PrdApp01,BM1,NULL,00:00.0,00:00.0,35:40.1,35:40.1,00:00.0,00:00.0,00:00.0
2003827,TY1PrdAppXX,TY1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003847,AM4PrdApp07,AM4,NULL,00:00.0,00:00.0,45:14.9,45:14.9,00:00.0,00:00.0,00:00.0
2003976,BL4PrdApp09,BL4,NULL,00:00.0,00:00.0,57:39.2,57:39.2,00:00.0,00:00.0,00:00.0
2110059,BL4PrdApp16,BL4,NULL,00:00.0,00:00.0,22:38.7,22:38.7,00:00.0,00:00.0,00:00.0
2108145,AM2PrdApp02,AM2,NULL,00:00.0,00:00.0,42:27.8,42:27.8,00:00.0,00:00.0,00:00.0
2108148,SN3PrdApp19,SN3,NULL,00:00.0,00:00.0,48:58.3,48:58.3,00:00.0,00:00.0,00:00.0
2108149,SN2PrdApp01,SN2,NULL,00:00.0,00:00.0,43:57.7,43:57.7,00:00.0,00:00.0,00:00.0
2108154,HK2PrdApp10,HK2,NULL,00:00.0,00:00.0,53:49.1,53:49.1,00:00.0,00:00.0,00:00.0
2108155,AM4PrdApp10,AM4,NULL,00:00.0,00:00.0,16:18.6,16:18.6,00:00.0,00:00.0,00:00.0
2108158,DM3PrdApp05,DM3,NULL,00:00.0,00:00.0,19:39.8,19:39.8,00:00.0,00:00.0,00:00.0
2108166,DM3PrdApp07,DM3,NULL,00:00.0,00:00.0,14:55.5,14:55.5,00:00.0,00:00.0,00:00.0
2108168,AM4PrdApp11,AM4,NULL,00:00.0,00:00.0,52:32.4,52:32.4,00:00.0,00:00.0,00:00.0
2108169,AM4PrdApp09,AM4,NULL,00:00.0,00:00.0,49:59.5,49:59.5,00:00.0,00:00.0,00:00.0
2108170,BL4PrdApp13,BL4,NULL,00:00.0,00:00.0,58:47.8,58:47.8,00:00.0,00:00.0,00:00.0
2108171,DB5PrdApp04,DB5,NULL,00:00.0,00:00.0,31:23.0,31:23.0,00:00.0,00:00.0,00:00.0
2108172,BL4PrdApp19,BL4,NULL,00:00.0,00:00.0,00:52.0,00:52.0,00:00.0,00:00.0,00:00.0
2108173,DB5PrdApp06,DB5,NULL,00:00.0,00:00.0,10:06.7,10:06.7,00:00.0,00:00.0,00:00.0
2108174,DB5TstApp06,DB5,NULL,00:00.0,00:00.0,05:49.8,05:49.8,NULL,NULL,NULL
2124301,SN4PrdApp03,SN4,NULL,00:00.0,00:00.0,10:31.0,10:31.0,00:00.0,00:00.0,00:00.0
2124302,SN3PrdApp23,SN3,NULL,00:00.0,00:00.0,50:28.0,50:28.0,12:00.0,12:00.0,00:00.0
2124303,BY4PrdApp24,BY4,NULL,00:00.0,00:00.0,36:41.8,36:41.8,00:00.0,00:00.0,00:00.0
2124304,BY4PrdApp18,BY4,NULL,00:00.0,00:00.0,08:14.3,08:14.3,00:00.0,00:00.0,00:00.0
2124305,BL5PrdApp07,BL5,NULL,00:00.0,00:00.0,56:30.4,56:30.4,00:00.0,00:00.0,00:00.0
2110191,AM6PrdAppXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110244,DM3PrdApp04,DM3,NULL,00:00.0,00:00.0,08:10.8,08:10.8,00:00.0,00:00.0,00:00.0
2110292,BJBPrdApp07,BJB,NULL,00:00.0,00:00.0,54:25.5,54:25.5,00:00.0,00:00.0,00:00.0
2110368,AM4PrdAppXX GEN4.1,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110389,LG1PrdApp01,LG1,NULL,00:00.0,00:00.0,50:09.4,50:09.4,00:00.0,00:00.0,00:00.0
2110394,AM4PrdAppXX GEN4.1,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110401,YT1PrdApp01,YT1,NULL,00:00.0,00:00.0,37:39.1,37:39.1,00:00.0,00:00.0,00:00.0
2110518,AM4PrdAppXX GEN4.1,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110522,AM4PrdAppXX,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110523,AM5PrdAppXX,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110524,AM5PrdAppXX,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110525,AM5PrdAppXX,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2113020,DB5PrdApp19,DB5,NULL,00:00.0,00:00.0,57:00.0,57:00.0,57:00.0,57:00.0,00:00.0
2110757,AM3PrdApp21,AM3,NULL,00:00.0,00:00.0,21:51.0,21:51.0,00:00.0,00:00.0,00:00.0
2110758,AM4PrdAppXX Godzilla,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110761,BN3PrdApp10,BN3,NULL,00:00.0,00:00.0,02:27.1,02:27.1,00:00.0,00:00.0,00:00.0
2110764,SY3PrdApp01-XTransport02,SY3,NULL,00:00.0,00:00.0,04:38.8,04:38.8,00:00.0,00:00.0,00:00.0
2110765,ML1PrdApp01-XTransport02,ML1,NULL,00:00.0,00:00.0,13:48.1,13:48.1,00:00.0,00:00.0,00:00.0
2110766,OS2PrdApp01-XTransport02,OS2,NULL,00:00.0,00:00.0,24:49.1,24:49.1,00:00.0,00:00.0,00:00.0
2110768,DM2AzFApp01-02,DM2,NULL,00:00.0,00:00.0,46:32.7,46:32.7,00:00.0,00:00.0,00:00.0
2110769,TY1PrdApp01-XTransport02,TY1,NULL,00:00.0,00:00.0,28:28.7,28:28.7,00:00.0,00:00.0,00:00.0
2110793,BN1PrdAppXX,BN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110812,BY4PrdApp11,BY4,NULL,00:00.0,00:00.0,35:14.8,35:14.8,07:00.0,07:00.0,00:00.0
2110813,BJBPrdApp08,BJB,NULL,00:00.0,00:00.0,19:08.3,19:08.3,00:00.0,00:00.0,00:00.0
2110814,AM4PrdApp12,AM4,NULL,00:00.0,00:00.0,09:45.3,09:45.3,00:00.0,00:00.0,00:00.0
2110815,DM3PrdApp08,DM3,NULL,00:00.0,00:00.0,58:59.9,58:59.9,00:00.0,00:00.0,00:00.0
2110816,BL4PrdApp14,BL4,NULL,00:00.0,00:00.0,19:08.5,19:08.5,00:00.0,00:00.0,00:00.0
2108822,CQ1PrdAppXX,CQ1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2108823,DM3PrdApp02,DM3,NULL,00:00.0,00:00.0,06:21.9,06:21.9,00:00.0,00:00.0,00:00.0
2112145,YQ1PrdApp01,YQ1,NULL,00:00.0,00:00.0,13:43.9,13:43.9,00:00.0,00:00.0,00:00.0
2112146,FR1PrdApp01,FR1,NULL,00:00.0,00:00.0,47:24.6,47:24.6,00:00.0,00:00.0,00:00.0
2004974,SN3PrdApp14,SN3,NULL,00:00.0,00:00.0,47:22.2,47:22.2,00:00.0,NULL,00:00.0
2004976,SN3PrdApp07-AddRack,SN3,NULL,00:00.0,00:00.0,16:48.7,16:48.7,NULL,NULL,NULL
2004978,BY3PrdApp19,BY3,NULL,00:00.0,00:00.0,10:11.7,10:11.7,00:00.0,00:00.0,00:00.0
2110069,BN3PrdApp11,BN3,NULL,00:00.0,00:00.0,35:55.7,35:55.7,00:00.0,00:00.0,00:00.0
2110122,BJBPrdApp11,BJB,NULL,00:00.0,00:00.0,45:51.8,45:51.8,00:00.0,00:00.0,00:00.0
2110175,OS2PrdApp02,OS2,NULL,00:00.0,00:00.0,41:58.0,41:58.0,00:00.0,00:00.0,00:00.0
2123427,DB6PrdApp01,DB6,NULL,00:00.0,00:00.0,41:08.0,41:08.0,00:00.0,00:00.0,00:00.0
2121232,BJBPrdApp13,BJB,NULL,00:00.0,00:00.0,07:40.5,07:40.5,00:00.0,00:00.0,00:00.0
2121233,DB5PrdApp18,DB5,NULL,00:00.0,00:00.0,50:11.2,50:11.2,50:00.0,50:00.0,00:00.0
2121234,OS2PrdApp05,OS2,NULL,00:00.0,00:00.0,37:00.9,37:00.9,00:00.0,00:00.0,00:00.0
2121235,BN3PrdApp15,BN3,NULL,00:00.0,00:00.0,35:52.8,35:52.8,38:00.0,38:00.0,00:00.0
2118514,DM5PrdApp12,DM5,NULL,00:00.0,00:00.0,49:51.9,49:51.9,00:00.0,00:00.0,00:00.0
2118515,DM5PrdApp13,DM5,NULL,00:00.0,00:00.0,46:06.0,46:06.0,00:00.0,00:00.0,00:00.0
2130033,AM5PrdApp02,AM5,NULL,00:00.0,00:00.0,17:09.4,17:09.4,40:00.0,40:00.0,00:00.0
2130034,BY4PrdApp29,BY4,NULL,00:00.0,00:00.0,30:31.0,30:31.0,00:00.0,00:00.0,00:00.0
2130035,DM3PrdApp19,DM3,NULL,00:00.0,00:00.0,04:18.8,04:18.8,00:00.0,00:00.0,00:00.0
2130036,DM3PrdApp25,DM3,NULL,00:00.0,00:00.0,05:25.5,05:25.5,00:00.0,00:00.0,00:00.0
2130037,BY4PrdApp27,BY4,NULL,00:00.0,00:00.0,18:27.3,18:27.3,00:00.0,00:00.0,00:00.0
2130038,CH1PrdApp10,CH1,NULL,00:00.0,00:00.0,42:54.6,42:54.6,00:00.0,00:00.0,00:00.0
2130040,CH1PrdApp12,CH1,NULL,00:00.0,00:00.0,50:11.3,50:11.3,00:00.0,00:00.0,00:00.0
2130042,DB5PrdApp29,DB5,NULL,00:00.0,00:00.0,51:45.2,51:45.2,30:00.0,30:00.0,00:00.0
2130043,SN4PrdApp04,SN4,NULL,00:00.0,00:00.0,51:44.9,51:44.9,00:00.0,00:00.0,00:00.0
2130045,DM3PrdApp24,DM3,NULL,00:00.0,00:00.0,51:49.8,51:49.8,00:00.0,00:00.0,00:00.0
2130047,BL5PrdApp11,BL5,NULL,00:00.0,00:00.0,07:26.4,07:26.4,00:00.0,00:00.0,00:00.0
2130048,BY4PrdApp31,BY4,NULL,00:00.0,00:00.0,26:39.1,26:39.1,03:00.0,03:00.0,00:00.0
2130049,BY4PrdApp28,BY4,NULL,00:00.0,00:00.0,30:47.9,30:47.9,46:00.0,46:00.0,00:00.0
2130050,AM5PrdApp04,AM5,00:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2007055,DM3PrdApp01,DM3,NULL,00:00.0,00:00.0,27:20.7,27:20.7,00:00.0,00:00.0,00:00.0
2007287,BN4PrdApp02,BN4,NULL,00:00.0,00:00.0,36:29.5,36:29.5,00:00.0,00:00.0,00:00.0
2007288,BY4PrdApp07,BY4,NULL,00:00.0,00:00.0,37:23.3,37:23.3,00:00.0,00:00.0,00:00.0
2112789,SN2PrdApp15,SN2,NULL,00:00.0,00:00.0,13:34.8,13:34.8,00:00.0,00:00.0,00:00.0
2112790,BY4PrdApp12,BY4,NULL,00:00.0,00:00.0,59:04.7,59:04.7,00:00.0,00:00.0,00:00.0
2112791,AM4PrdApp13,AM4,NULL,00:00.0,00:00.0,51:41.2,51:41.2,00:00.0,00:00.0,00:00.0
2112792,BY4PrdApp13,BY4,NULL,00:00.0,00:00.0,21:59.6,21:59.6,00:00.0,00:00.0,00:00.0
2112793,SN2PrdApp05,SN2,NULL,00:00.0,00:00.0,37:38.8,37:38.8,00:00.0,00:00.0,00:00.0
2112794,DM3PrdApp06,DM3,NULL,00:00.0,00:00.0,55:28.7,55:28.7,00:00.0,00:00.0,00:00.0
2112795,BL4PrdApp15,BL4,NULL,00:00.0,00:00.0,50:27.1,50:27.1,00:00.0,00:00.0,00:00.0
2112796,CDM03PrdApp01,CDM,NULL,00:00.0,00:00.0,43:52.2,43:52.2,00:00.0,00:00.0,00:00.0
2112797,BL5PrdApp05,BL5,NULL,00:00.0,00:00.0,15:38.9,15:38.9,00:00.0,00:00.0,00:00.0
2107671,BY4PrdApp05,BY4,NULL,00:00.0,00:00.0,27:59.8,27:59.8,00:00.0,00:00.0,00:00.0
2108534,SG2PrdApp06,SG2,NULL,00:00.0,00:00.0,32:57.8,32:57.8,00:00.0,00:00.0,00:00.0
2107863,BL4PrdApp11,BL4,NULL,00:00.0,00:00.0,20:58.0,20:58.0,00:00.0,00:00.0,00:00.0
2107866,BN3PrdApp09,BN3,NULL,00:00.0,00:00.0,19:45.8,19:45.8,00:00.0,00:00.0,00:00.0
2108131,SG1PrdApp01,SG1,NULL,00:00.0,00:00.0,04:58.3,04:58.3,00:00.0,00:00.0,00:00.0
2108134,BJBPrdApp06,BJB,NULL,00:00.0,00:00.0,52:24.9,52:24.9,00:00.0,00:00.0,00:00.0
2108135,AM4PrdApp18,AM4,NULL,00:00.0,00:00.0,34:22.6,34:22.6,03:00.0,03:00.0,00:00.0
2108137,HKNPrdApp01,HKN,NULL,00:00.0,00:00.0,45:45.4,45:45.4,00:00.0,00:00.0,00:00.0
2108140,BY4PrdApp08,BY4,NULL,00:00.0,00:00.0,50:20.8,50:20.8,24:00.0,24:00.0,00:00.0
2108143,AM4PrdApp04,AM4,NULL,00:00.0,00:00.0,58:10.0,58:10.0,00:00.0,00:00.0,00:00.0
2117767,BL5PrdApp06,BL5,NULL,00:00.0,00:00.0,52:21.4,52:21.4,00:00.0,00:00.0,00:00.0
2117768,SN2PrdApp10,SN2,NULL,00:00.0,00:00.0,27:33.1,27:33.1,00:00.0,00:00.0,00:00.0
2117769,DM3PrdApp13,DM3,NULL,00:00.0,00:00.0,12:40.1,12:40.1,00:00.0,00:00.0,00:00.0
2117770,DM3PrdApp16,DM3,NULL,00:00.0,00:00.0,56:17.6,56:17.6,00:00.0,00:00.0,00:00.0
2117771,DM3PrdApp11,DM3,NULL,00:00.0,00:00.0,03:12.2,03:12.2,00:00.0,00:00.0,00:00.0
2130160,ML1PrdApp06,ML1,NULL,00:00.0,00:00.0,44:35.2,44:35.2,00:00.0,00:00.0,00:00.0
2130161,SN4PrdAppXX,SN4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130165,DM3PrdApp26,DM3,NULL,00:00.0,00:00.0,41:26.3,41:26.3,00:00.0,00:00.0,00:00.0
2130168,SN4PrdApp11-02,SN4,NULL,00:00.0,00:00.0,33:34.1,33:34.1,00:00.0,00:00.0,00:00.0
2130169,BL5PrdAppXX,BL5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2119967,DB5PrdApp09,DB5,NULL,00:00.0,00:00.0,42:40.7,42:40.7,00:00.0,00:00.0,00:00.0
2121260,SN1PrdApp01Agg02,SN1,NULL,00:00.0,00:00.0,38:04.0,00:00.0,00:00.0,00:00.0,00:00.0
2121261,SN1PrdApp04,SN1,NULL,00:00.0,00:00.0,40:01.1,00:00.0,00:00.0,00:00.0,00:00.0
2121308,BN1AzFApp02,BN1,NULL,00:00.0,00:00.0,57:24.9,57:24.9,00:00.0,00:00.0,00:00.0
2121318,PN1PrdApp02,PN1,NULL,00:00.0,00:00.0,50:34.2,50:34.2,00:00.0,00:00.0,00:00.0
2121320,MA1PrdApp03,MA1,NULL,00:00.0,00:00.0,28:54.4,28:54.4,00:00.0,00:00.0,00:00.0
2130768,DM5PrdApp09,DM5,NULL,00:00.0,00:00.0,43:11.8,43:11.8,00:00.0,00:00.0,00:00.0
2130769,DM3PrdApp23,DM3,NULL,00:00.0,00:00.0,36:54.7,36:54.7,00:00.0,00:00.0,00:00.0
2120199,SG2PrdApp34,SG2,00:00.0,00:00.0,00:00.0,24:31.9,24:31.9,33:25.6,33:25.6,00:00.0
2130070,DM3PrdAppXX,DM3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130071,SN4PrdApp02,SN4,NULL,00:00.0,00:00.0,21:37.7,21:37.7,00:00.0,00:00.0,00:00.0
2130073,SG2PrdApp22,SG2,NULL,00:00.0,00:00.0,43:42.7,43:42.7,00:00.0,00:00.0,00:00.0
2130074,AM5PrdApp18,AM5,NULL,00:00.0,00:00.0,48:42.6,48:42.6,00:00.0,00:00.0,00:00.0
2130077,SN4PrdAppXX,SN4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130082,SN4PrdApp01,SN4,NULL,00:00.0,00:00.0,28:55.6,28:55.6,00:00.0,00:00.0,00:00.0
2130083,BY4PrdApp34,BY4,NULL,00:00.0,00:00.0,38:31.5,38:31.5,00:00.0,00:00.0,00:00.0
2130085,DB6PrdApp07,DB6,NULL,00:00.0,00:00.0,34:20.7,34:20.7,00:00.0,00:00.0,00:00.0
2130090,BY4PrdApp35,BY4,NULL,00:00.0,00:00.0,25:19.1,25:19.1,00:00.0,00:00.0,00:00.0
2130092,SN4PrdApp07,SN4,NULL,00:00.0,00:00.0,41:39.6,41:39.6,00:00.0,00:00.0,00:00.0
2130093,HK2PrdApp17,HK2,NULL,00:00.0,00:00.0,17:08.7,17:08.7,00:00.0,00:00.0,00:00.0
2130094,AM5PrdApp13,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130096,AM5PrdApp09,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130097,AM5PrdApp14,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2130098,BL5PrdApp30-01,BL5,NULL,00:00.0,00:00.0,05:19.3,05:19.3,00:00.0,00:00.0,00:00.0
2130100,BL5PrdApp31-02,BL5,NULL,00:00.0,00:00.0,12:23.9,12:23.9,00:00.0,00:00.0,00:00.0
2113022,SY3PrdApp13,SY3,NULL,00:00.0,00:00.0,48:21.9,48:21.9,00:00.0,00:00.0,00:00.0
2113024,MA1PrdApp03,MA1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2113025,BY3PrdApp20,BY3,NULL,00:00.0,00:00.0,22:36.7,22:36.7,00:00.0,00:00.0,00:00.0
2113036,DM2PrdApp10,DM2,NULL,00:00.0,00:00.0,54:21.0,54:21.0,50:00.0,50:00.0,00:00.0
2113037,BN4PrdApp13,BN4,NULL,00:00.0,00:00.0,26:13.2,26:13.2,00:00.0,00:00.0,00:00.0
2113040,DM3PrdApp12,DM3,NULL,00:00.0,00:00.0,16:05.8,16:05.8,00:00.0,00:00.0,00:00.0
2113041,BN4PrdApp10,BN4,NULL,00:00.0,00:00.0,44:49.7,44:49.7,00:00.0,00:00.0,00:00.0
2113045,CQ1PrdApp05,CQ1,NULL,00:00.0,00:00.0,38:22.4,38:22.4,00:00.0,00:00.0,00:00.0
2113050,SN3PrdApp27,SN3,NULL,00:00.0,00:00.0,00:36.4,00:36.4,00:00.0,00:00.0,00:00.0
2113051,BN1AzFApp03,BN1,NULL,00:00.0,00:00.0,16:22.0,16:22.0,00:00.0,00:00.0,00:00.0
2113054,CBN04PrdApp01,CBN,NULL,00:00.0,00:00.0,07:52.4,07:52.4,00:00.0,00:00.0,00:00.0
2113057,SY3PrdApp08,SY3,NULL,00:00.0,00:00.0,45:12.8,45:12.8,00:00.0,00:00.0,00:00.0
2113058,SN2PrdApp02,SN2,NULL,00:00.0,00:00.0,16:41.0,16:41.0,00:00.0,00:00.0,00:00.0
2113064,SN3PrdApp24,SN3,NULL,00:00.0,00:00.0,54:52.3,54:52.3,00:00.0,00:00.0,00:00.0
2106875,BY4PrdApp06,BY4,NULL,00:00.0,00:00.0,07:44.7,07:44.7,00:00.0,00:00.0,00:00.0
2107765,AM4PrdApp08,AM4,NULL,00:00.0,00:00.0,09:07.3,09:07.3,00:00.0,00:00.0,00:00.0
2107766,CH1PrdApp04,CH1,NULL,00:00.0,00:00.0,16:52.3,16:52.3,00:00.0,00:00.0,00:00.0
2107768,SH3PrdApp04,SH3,NULL,00:00.0,00:00.0,14:48.9,14:48.9,00:00.0,00:00.0,00:00.0
2107774,CH1PrdApp01,CH1,NULL,00:00.0,00:00.0,16:23.3,16:23.3,00:00.0,00:00.0,00:00.0
2107778,BY4PrdApp10,BY4,NULL,00:00.0,00:00.0,16:18.6,16:18.6,00:00.0,00:00.0,00:00.0
2107781,BL5PrdApp01,BL5,NULL,00:00.0,00:00.0,26:58.2,26:58.2,00:00.0,00:00.0,00:00.0
2005147,DM2AzfApp02,DM2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005192,BN1Azf App02,BN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005635,CQ1PrdApp03,CQ1,NULL,00:00.0,00:00.0,14:58.5,14:58.5,00:00.0,NULL,00:00.0
2005778,SN3PrdApp17,SN3,NULL,00:00.0,00:00.0,33:45.1,33:45.1,00:00.0,00:00.0,00:00.0
2005943,DB5PrdAppXX,DB5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006024,OS2PrdAppxx,OS2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006039,BL4PrdApp06,BL4,NULL,00:00.0,00:00.0,55:37.5,55:37.5,00:00.0,00:00.0,00:00.0
2006754,BL4PrdApp10,BL4,NULL,00:00.0,00:00.0,44:30.9,44:30.9,00:00.0,00:00.0,00:00.0
2006756,BY4PrdApp09,BY4,NULL,00:00.0,00:00.0,22:09.0,22:09.0,40:00.0,40:00.0,00:00.0
2006758,DB5TstApp05,DB5,NULL,00:00.0,00:00.0,20:41.9,20:41.9,NULL,NULL,NULL
2121903,SHAPrdApp02,SHA,NULL,00:00.0,00:00.0,00:11.8,00:11.8,00:00.0,00:00.0,00:00.0
2121970,DM2AzFApp03,DM2,NULL,00:00.0,00:00.0,01:24.5,01:24.5,00:00.0,00:00.0,00:00.0
2119379,BL5PrdApp02,BL5,NULL,00:00.0,00:00.0,09:55.6,09:55.6,00:00.0,00:00.0,00:00.0
2119380,BL5PrdApp04,BL5,NULL,00:00.0,00:00.0,36:43.8,36:43.8,00:00.0,00:00.0,00:00.0
2119381,BL5PrdApp08,BL5,NULL,00:00.0,00:00.0,48:50.7,48:50.7,00:00.0,00:00.0,00:00.0
2130302,DM5PrdApp05-01,DM5,NULL,00:00.0,00:00.0,49:19.1,49:19.1,00:00.0,00:00.0,00:00.0
2130304,BN6PrdApp03,BN6,NULL,00:00.0,00:00.0,17:13.8,17:13.8,00:00.0,00:00.0,00:00.0
2130305,BN6PrdApp04-01,BN6,NULL,00:00.0,00:00.0,52:22.3,52:22.3,00:00.0,00:00.0,00:00.0
2130306,BN6PrdApp05-01,BN6,NULL,00:00.0,00:00.0,35:06.2,35:06.2,00:00.0,00:00.0,00:00.0
2130307,BN6PrdApp02-02,BN6,NULL,00:00.0,00:00.0,06:48.4,06:48.4,00:00.0,00:00.0,00:00.0
2119636,DB5PrdApp10,DB5,NULL,00:00.0,00:00.0,45:24.5,45:24.5,00:00.0,00:00.0,00:00.0
2120346,SH3PrdApp03,SH3,NULL,00:00.0,00:00.0,44:37.4,44:37.4,00:00.0,00:00.0,00:00.0
2120351,SN2PrdApp03,SN2,NULL,00:00.0,00:00.0,12:01.3,12:01.3,00:00.0,00:00.0,00:00.0
2120352,BN4PrdApp11,BN4,NULL,00:00.0,00:00.0,28:08.3,28:08.3,39:00.0,39:00.0,00:00.0
2120355,DB5PrdApp22,DB5,NULL,00:00.0,00:00.0,32:32.4,32:32.4,00:00.0,00:00.0,00:00.0
2120363,BY4PrdApp16,BY4,NULL,00:00.0,00:00.0,29:04.9,29:04.9,00:00.0,00:00.0,00:00.0
2120401,AM5PrdApp03,AM5,NULL,00:00.0,00:00.0,20:44.7,20:44.7,44:00.0,44:00.0,00:00.0
2120403,DB5PrdApp28,DB5,NULL,00:00.0,00:00.0,01:20.8,01:20.8,28:00.0,28:00.0,00:00.0
2120406,SN2PrdApp04,SN2,NULL,00:00.0,00:00.0,35:10.2,35:10.2,00:00.0,00:00.0,00:00.0
2120407,DB5PrdApp11,DB5,NULL,00:00.0,00:00.0,13:42.4,13:42.4,00:00.0,00:00.0,00:00.0
2120408,AM5PrdApp01,AM5,NULL,00:00.0,00:00.0,45:48.6,45:48.6,00:00.0,00:00.0,00:00.0
2120409,SY3PrdApp09,SY3,NULL,00:00.0,00:00.0,44:03.0,44:03.0,06:00.0,06:00.0,00:00.0
2147190,HK2PrdApp23,HK2,NULL,00:00.0,00:00.0,32:30.9,32:30.9,00:00.0,00:00.0,00:00.0
2147193,BJBPrdApp02,BJB,00:00.0,00:00.0,00:00.0,08:01.3,08:01.3,00:00.0,00:00.0,00:00.0
2147198,DB6PrdApp24,DB6,00:00.0,00:00.0,00:00.0,28:22.8,28:22.8,50:37.5,50:37.5,00:00.0
