Code,plan_clustername,ClusterDC1,SC_ETADockdate,Sc_actualdockdate,Deploy_ETARTODate,Deploy_ActualRTODate,Buildout_ETAWaboHandoffDate,Buildout_ActualWaboHandoffDate,Buildout_ETALiveDate,Buildout_ActualLiveDate
2106349,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106371,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106385,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106387,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106406,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106411,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106416,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106434,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106438,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106441,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106448,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106449,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106451,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106453,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106455,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106462,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106467,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106474,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106484,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106506,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106510,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106515,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106516,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106521,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106530,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106538,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106552,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106560,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106567,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106570,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106578,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106582,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106587,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106591,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106595,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106606,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106616,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106630,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106639,SG1 to SG2 ANSID Migration - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106645,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106651,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106652,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110378,AM6PrdStpXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110387,FR1PrdStr02,FR1,NULL,00:00.0,00:00.0,16:17.4,16:17.4,00:00.0,00:00.0,00:00.0
2110390,YT1PrdStr01,YT1,NULL,00:00.0,00:00.0,42:04.0,42:04.0,30:00.0,30:00.0,00:00.0
2110393,AM4PrdStpXX GEN3,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110541,AM6PrdStpXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110542,AM6PrdStpXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2109962,AM6PrdStpXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2113021,BN3PrdStp06,BN3,NULL,00:00.0,00:00.0,01:19.3,01:19.3,00:00.0,00:00.0,00:00.0
2113038,DM3PrdStr06,DM3,NULL,00:00.0,00:00.0,11:34.0,11:34.0,00:00.0,00:00.0,00:00.0
2113039,BN4PrdStr06,BN4,NULL,00:00.0,00:00.0,09:58.7,09:58.7,00:00.0,00:00.0,00:00.0
2113042,CDM03PrdStr01,CDM,NULL,00:00.0,00:00.0,04:50.9,04:50.9,00:00.0,00:00.0,00:00.0
2113043,CBN04PrdStr01,CBN,NULL,00:00.0,00:00.0,07:36.8,07:36.8,00:00.0,00:00.0,00:00.0
2113055,SG2PrdDDC01,SG2,NULL,00:00.0,00:00.0,27:07.9,27:07.9,00:00.0,00:00.0,23:22.0
2113063,SN3PrdStp02,SN3,NULL,00:00.0,00:00.0,28:44.8,28:44.8,00:00.0,00:00.0,00:00.0
2106686,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106687,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106689,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106696,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106697,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106707,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106719,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106723,SG1 to SG2 ANSID Migration - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106725,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106727,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106729,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106732,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106738,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106740,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106746,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2106755,SG1 to SG2 MT Migration  - SG1,SG1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2000066,SG3PrdStr02,SG3,NULL,00:00.0,00:00.0,14:40.0,14:40.0,00:00.0,NULL,00:00.0
2000097,BJBPrdDDC02,BJB,NULL,00:00.0,00:00.0,24:44.3,24:44.3,00:00.0,00:00.0,00:00.0
2000127,DB4PrdDDC07,DB4,NULL,00:00.0,NULL,22:23.3,NULL,00:00.0,NULL,00:00.0
2000128,AM3PrdStp03,AM3,NULL,00:00.0,00:00.0,20:54.9,20:54.9,00:00.0,00:00.0,00:00.0
2000217,DB4PrdStr08,DB4,NULL,00:00.0,NULL,32:38.4,NULL,00:00.0,NULL,00:00.0
2000218,DB4PrdStr09,DB4,NULL,00:00.0,NULL,04:19.5,NULL,00:00.0,NULL,00:00.0
2000307,AM5PrdHPC01,AM5,NULL,NULL,NULL,NULL,00:00.0,NULL,00:00.0,NULL
2000311,AM3PrdStr08,AM3,NULL,00:00.0,NULL,47:35.4,NULL,00:00.0,NULL,00:00.0
2000312,AM3PrdStr09,AM3,NULL,00:00.0,NULL,44:13.5,NULL,00:00.0,NULL,00:00.0
2000352,TY1PrdDDC01,TY1,NULL,00:00.0,00:00.0,48:32.5,48:32.5,00:00.0,NULL,00:00.0
2000437,DM2PrdStr01,DM2,NULL,00:00.0,NULL,08:29.1,NULL,00:00.0,NULL,00:00.0
2000622,BN3PrdStr01,BN3,NULL,00:00.0,NULL,22:54.9,NULL,00:00.0,NULL,00:00.0
2000705,CH3PrdStr04,CH3,NULL,00:00.0,NULL,53:31.0,NULL,00:00.0,NULL,00:00.0
2000726,BN3PrdStp01,BN3,NULL,00:00.0,00:00.0,59:20.4,59:20.4,00:00.0,NULL,00:00.0
2000800,SN3PrdStr05,SN3,NULL,00:00.0,NULL,16:04.0,NULL,00:00.0,NULL,00:00.0
2000890,BN3TstStr01,BN3,NULL,00:00.0,00:00.0,08:25.9,08:25.9,NULL,NULL,NULL
2001733,BL4PrdDDC02,BL4,NULL,00:00.0,00:00.0,57:26.7,57:26.7,00:00.0,00:00.0,00:00.0
2002057,MA1PrdDDC01,MA1,NULL,00:00.0,00:00.0,43:48.4,43:48.4,00:00.0,00:00.0,00:00.0
2002096,HK2PrdStr01,HK2,NULL,00:00.0,00:00.0,47:50.2,47:50.2,00:00.0,NULL,00:00.0
2002097,DM3PrdStr01,DM3,NULL,00:00.0,00:00.0,15:57.7,15:57.7,00:00.0,NULL,00:00.0
2002098,BN3PrdStr02,BN3,NULL,00:00.0,00:00.0,19:31.6,19:31.6,00:00.0,NULL,00:00.0
2002100,AM3PrdStp01,AM3,NULL,00:00.0,00:00.0,20:49.2,20:49.2,00:00.0,00:00.0,00:00.0
2002212,MA1PrdStr01,MA1,NULL,00:00.0,00:00.0,49:19.3,49:19.3,00:00.0,00:00.0,00:00.0
2002213,MA1PrdStr02,MA1,NULL,00:00.0,00:00.0,47:51.5,47:51.5,00:00.0,00:00.0,00:00.0
2002216,BY3PrdStp01,BY3,NULL,00:00.0,00:00.0,02:46.1,02:46.1,00:00.0,00:00.0,00:00.0
2002231,DB5PrdStr01,DB5,NULL,00:00.0,00:00.0,03:34.9,03:34.9,00:00.0,NULL,00:00.0
2002294,AM3PrdDDC09,AM3,NULL,00:00.0,00:00.0,01:33.2,01:33.2,00:00.0,NULL,00:00.0
2002516,AM3PrdStr10,AM3,NULL,00:00.0,00:00.0,18:44.7,18:44.7,00:00.0,NULL,00:00.0
2002563,CH3PrdDDC04,CH3,NULL,00:00.0,00:00.0,58:14.5,58:14.5,00:00.0,NULL,00:00.0
2002567,OS2PrdDDC01,OS2,NULL,00:00.0,00:00.0,54:38.0,54:38.0,00:00.0,NULL,00:00.0
2002569,DM2PrdDDC01,DM2,NULL,00:00.0,00:00.0,06:43.8,06:43.8,00:00.0,00:00.0,00:00.0
2002570,BL3PrdDDC02,BL3,NULL,00:00.0,00:00.0,42:42.3,42:42.3,00:00.0,NULL,00:00.0
2002818,CH1PrdDDC01,CH1,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,00:00.0
2002819,SN1,SN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002820,DB3,DB3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002821,AM2,AM2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002823,HKN,HKN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002887,OS2PrdStp01,OS2,NULL,00:00.0,00:00.0,42:54.6,42:54.6,00:00.0,00:00.0,00:00.0
2002952,DB4PrdDDC08,DB4,NULL,00:00.0,00:00.0,12:12.3,12:12.3,00:00.0,NULL,00:00.0
2002956,DB5PrdStrXX,DB5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002960,BN3PrdDDC02,BN3,NULL,00:00.0,00:00.0,53:31.4,53:31.4,00:00.0,NULL,00:00.0
2002961,DM2PrdStr02,DM2,NULL,00:00.0,00:00.0,47:25.1,47:25.1,00:00.0,NULL,00:00.0
2002979,SN3PrdStr06,SN3,NULL,00:00.0,00:00.0,18:18.1,18:18.1,00:00.0,00:00.0,00:00.0
2002988,SG2PrdStr01,SG2,NULL,00:00.0,00:00.0,01:27.3,01:27.3,00:00.0,00:00.0,00:00.0
2003598,BN3PrdStp05,BN3,NULL,00:00.0,00:00.0,32:48.1,32:48.1,00:00.0,00:00.0,00:00.0
2003650,DB5PrdDDC01,DB5,NULL,00:00.0,00:00.0,44:41.5,44:41.5,00:00.0,NULL,00:00.0
2003651,BN3PrdDDC01,BN3,NULL,00:00.0,00:00.0,46:47.2,46:47.2,00:00.0,NULL,NULL
2003652,BY3PrdDDC05,BY3,NULL,00:00.0,00:00.0,20:48.2,20:48.2,00:00.0,NULL,00:00.0
2003653,HK2PrdDDC04,HK2,NULL,00:00.0,00:00.0,46:46.6,46:46.6,00:00.0,NULL,00:00.0
2003654,SG3PrdDDC04,SG3,NULL,00:00.0,00:00.0,33:53.0,33:53.0,00:00.0,NULL,00:00.0
2003655,HK2PrdDDC05,HK2,NULL,00:00.0,00:00.0,45:54.7,45:54.7,00:00.0,00:00.0,00:00.0
2003660,DB5PrdStr06,DB5,NULL,00:00.0,00:00.0,NULL,00:00.0,NULL,NULL,NULL
2003661,DB5PrdStr03,DB5,NULL,00:00.0,00:00.0,18:59.6,18:59.6,00:00.0,00:00.0,00:00.0
2003688,TY1PrdStp01,TY1,NULL,00:00.0,00:00.0,50:19.7,50:19.7,00:00.0,00:00.0,00:00.0
2003693,CH3PrdStr06,CH3,NULL,00:00.0,00:00.0,03:37.2,03:37.2,18:00.0,18:00.0,00:00.0
2003695,SN2PrdStr01,SN2,NULL,00:00.0,00:00.0,41:42.6,41:42.6,18:00.0,18:00.0,00:00.0
2003741,SN3PrdDDC05,SN3,NULL,00:00.0,00:00.0,59:48.9,59:48.9,00:00.0,00:00.0,00:00.0
2003887,BY3PrdStp02,BY3,NULL,00:00.0,00:00.0,21:53.7,21:53.7,00:00.0,00:00.0,00:00.0
2003895,BY4PrdDDC05,BY4,NULL,00:00.0,00:00.0,40:56.4,40:56.4,57:00.0,57:00.0,00:00.0
2003975,BY4PrdDDC01,BY4,NULL,00:00.0,00:00.0,16:26.6,16:26.6,00:00.0,00:00.0,00:00.0
2110770,SH3PrdStp01,SH3,NULL,00:00.0,00:00.0,58:14.6,58:14.6,00:00.0,00:00.0,00:00.0
2110787,BY4PrdDDC04,BY4,NULL,00:00.0,00:00.0,27:59.3,27:59.3,15:00.0,15:00.0,44:46.0
2110810,SH3PrdDDC01,SH3,NULL,00:00.0,00:00.0,07:01.6,07:01.6,00:00.0,00:00.0,00:00.0
2107767,BY4PrdDDC02,BY4,NULL,00:00.0,00:00.0,19:39.7,19:39.7,08:00.0,08:00.0,00:00.0
2107769,SY3PrdDDC05,SY3,NULL,00:00.0,00:00.0,NULL,00:00.0,00:00.0,00:00.0,00:00.0
2107770,ML1PrdDDC02,ML1,NULL,00:00.0,00:00.0,44:16.0,44:16.0,20:00.0,20:00.0,25:17.0
2107773,DB5PrdDDC06,DB5,NULL,00:00.0,00:00.0,02:27.0,02:27.0,52:00.0,52:00.0,54:22.0
2107777,DM3PrdDDC01,DM3,NULL,00:00.0,00:00.0,14:14.9,14:14.9,00:00.0,00:00.0,00:00.0
2107784,AM4PrdDDCXX GEN 4.1,AM4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2107864,DB5PrdDDC03,DB5,NULL,00:00.0,00:00.0,27:25.1,27:25.1,00:00.0,00:00.0,00:00.0
2107865,BY4PrdDDC03,BY4,NULL,00:00.0,00:00.0,32:55.5,32:55.5,20:00.0,20:00.0,00:00.0
2107869,BN4PrdStr03,BN4,NULL,00:00.0,00:00.0,19:19.0,19:19.0,24:00.0,24:00.0,00:00.0
2107870,DM3PrdStr03,DM3,NULL,00:00.0,00:00.0,12:57.8,12:57.8,24:00.0,24:00.0,00:00.0
2107871,BY4PrdStr02,BY4,NULL,00:00.0,00:00.0,50:33.2,50:33.2,00:00.0,00:00.0,00:00.0
2107873,BN4PrdStr02,BN4,NULL,00:00.0,00:00.0,02:47.7,02:47.7,00:00.0,00:00.0,00:00.0
2108824,AM4PrdStr01,AM4,NULL,00:00.0,00:00.0,19:51.1,19:51.1,00:00.0,00:00.0,00:00.0
2112147,YT1PrdDDC01,YT1,NULL,00:00.0,00:00.0,41:20.5,41:20.5,00:00.0,00:00.0,00:00.0
2112148,YQ1PrdDDC01,YQ1,NULL,00:00.0,00:00.0,44:42.6,44:42.6,00:00.0,00:00.0,00:00.0
2112149,FR1PrdDDC01,FR1,NULL,00:00.0,00:00.0,37:18.8,37:18.8,00:00.0,00:00.0,00:00.0
2112150,LG1PrdDDC01,LG1,NULL,00:00.0,00:00.0,17:47.7,17:47.7,00:00.0,00:00.0,00:00.0
2112151,YQ1PrdStr02,YQ1,NULL,00:00.0,00:00.0,39:53.1,39:53.1,30:00.0,30:00.0,00:00.0
2112152,YQ1PrdStr01,YQ1,NULL,00:00.0,00:00.0,42:31.5,42:31.5,15:00.0,15:00.0,00:00.0
2112153,LG1PrdStr02,LG1,NULL,00:00.0,00:00.0,58:44.3,58:44.3,00:00.0,00:00.0,00:00.0
2112154,LG1PrdStr01,LG1,NULL,00:00.0,00:00.0,13:18.6,13:18.6,00:00.0,00:00.0,00:00.0
2004975,BL4PrdDDC01,BL4,NULL,00:00.0,00:00.0,04:02.2,04:02.2,00:00.0,NULL,00:00.0
2005825,HK2PrdStr02,HK2,NULL,00:00.0,00:00.0,01:04.1,01:04.1,00:00.0,00:00.0,00:00.0
2005832,AM5PrdStrXX,AM5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005838,OSA02PrdStr01,OSA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005841,BN4PrdStr01,BN4,NULL,00:00.0,00:00.0,28:42.8,28:42.8,00:00.0,NULL,00:00.0
2005842,CH3PrdStr05,CH3,NULL,00:00.0,00:00.0,22:48.9,22:48.9,00:00.0,00:00.0,00:00.0
2005843,BY4PrdStr01,BY4,NULL,00:00.0,00:00.0,05:25.8,05:25.8,00:00.0,00:00.0,00:00.0
2005854,BL4PrdStr01,BL4,NULL,00:00.0,00:00.0,26:48.6,26:48.6,00:00.0,NULL,00:00.0
2005855,BY3PrdStr05,BY3,NULL,00:00.0,00:00.0,12:59.8,12:59.8,00:00.0,NULL,00:00.0
2005873,BL4PrdStr03,BL4,NULL,00:00.0,00:00.0,23:54.8,23:54.8,00:00.0,00:00.0,00:00.0
2110650,YT1PrdStr02,YT1,NULL,00:00.0,00:00.0,05:49.7,05:49.7,15:00.0,15:00.0,00:00.0
2110654,FR1PrdStr01,FR1,NULL,00:00.0,00:00.0,59:56.5,59:56.5,00:00.0,00:00.0,00:00.0
2110684,BY4PrdStr02,BY4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0
2107985,BL4PrdStr02,BL4,NULL,00:00.0,00:00.0,05:39.4,05:39.4,00:00.0,00:00.0,00:00.0
2107989,DM3PrdStr02,DM3,NULL,00:00.0,00:00.0,04:05.7,04:05.7,00:00.0,00:00.0,00:00.0
2108055,DB5PrdStr05,DB5,NULL,00:00.0,00:00.0,47:55.3,47:55.3,01:00.0,01:00.0,00:00.0
2108056,AM4PrdStr02,AM4,NULL,00:00.0,00:00.0,14:17.2,14:17.2,20:00.0,20:00.0,00:00.0
2110066,BL4PrdStr03,BL4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0
2110067,DM2AzFDDC02,DM2,NULL,00:00.0,00:00.0,01:28.9,01:28.9,00:00.0,00:00.0,00:00.0
2110068,BN3PrdStpXX,BN3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2110149,AM6PrdStpXX,AM6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006721,BY3P,BY3,NULL,00:00.0,00:00.0,39:40.1,39:40.1,NULL,39:40.1,NULL
2006722,BL2P,BL2,NULL,00:00.0,NULL,29:23.6,NULL,NULL,NULL,00:00.0
2006723,BN3P,BN3,NULL,00:00.0,00:00.0,02:32.1,02:32.1,NULL,02:32.1,NULL
2006724,DM2P,DM2,NULL,00:00.0,00:00.0,52:46.8,52:46.8,NULL,52:46.8,NULL
2006725,CH1P,CH1,NULL,00:00.0,00:00.0,57:23.4,NULL,NULL,NULL,00:00.0
2006726,SN3P,SN3,NULL,00:00.0,NULL,45:16.5,NULL,NULL,NULL,00:00.0
2006727,DB3P,DB3,NULL,00:00.0,00:00.0,13:56.2,13:56.2,NULL,13:56.2,NULL
2006728,AM3P,AM3,NULL,00:00.0,NULL,13:28.3,NULL,NULL,NULL,00:00.0
2006729,BM1P,BM1,NULL,00:00.0,00:00.0,13:05.0,NULL,NULL,NULL,00:00.0
2006730,HK2P,HK2,NULL,00:00.0,NULL,22:08.8,NULL,NULL,NULL,00:00.0
2006731,TY1P,TY1,NULL,00:00.0,00:00.0,14:53.5,NULL,NULL,NULL,00:00.0
2006732,OS1P,OS1,NULL,00:00.0,00:00.0,29:54.9,NULL,00:00.0,NULL,00:00.0
2006733,SY3P,SY3,NULL,00:00.0,NULL,00:11.1,NULL,NULL,NULL,00:00.0
2006734,ML1P,ML1,NULL,00:00.0,NULL,13:02.4,NULL,NULL,NULL,00:00.0
2006738,PN1P,PN1,NULL,00:00.0,00:00.0,30:16.5,NULL,NULL,NULL,00:00.0
2006739,MA1P,MA1,NULL,00:00.0,00:00.0,25:58.3,NULL,NULL,NULL,00:00.0
2006740,SG2P,SG2,NULL,00:00.0,00:00.0,09:03.2,09:03.2,NULL,09:03.2,NULL
2006741,DB5P,DB5,NULL,00:00.0,00:00.0,44:36.8,NULL,NULL,NULL,00:00.0
2006742,DM3P,DM3,NULL,00:00.0,00:00.0,18:29.2,18:29.2,NULL,18:29.2,NULL
2006743,BN3N,BN3,NULL,00:00.0,00:00.0,19:25.6,19:25.6,NULL,19:25.6,NULL
2006744,AMS04,AMS,NULL,00:00.0,00:00.0,24:00.8,24:00.8,NULL,24:00.8,NULL
2006755,AM4PrdDDC02,AM4,NULL,00:00.0,00:00.0,12:14.9,12:14.9,00:00.0,00:00.0,00:00.0
2006757,AM4PrdDDC01,AM4,NULL,00:00.0,00:00.0,35:20.4,35:20.4,00:00.0,00:00.0,00:00.0
2006759,CQ1PrdDDC02,CQ1,NULL,00:00.0,00:00.0,55:43.7,55:43.7,00:00.0,00:00.0,00:00.0
2108147,AM3PrdStp02,AM3,NULL,00:00.0,00:00.0,33:32.0,33:32.0,00:00.0,00:00.0,00:00.0
2108152,HK2PrdDDC06,HK2,NULL,00:00.0,00:00.0,36:23.7,36:23.7,30:00.0,30:00.0,00:00.0
2108157,BY3PrdStp03,BY3,NULL,00:00.0,00:00.0,02:09.0,02:09.0,00:00.0,00:00.0,00:00.0
2108163,DB5PrdDDC02,DB5,NULL,00:00.0,00:00.0,35:53.7,35:53.7,00:00.0,00:00.0,00:00.0
2108164,DB5PrdDDC09,DB5,NULL,00:00.0,00:00.0,04:17.7,04:17.7,59:00.0,59:00.0,02:24.0
2116070,AM4PrdDDC08,AM4,NULL,00:00.0,00:00.0,17:04.5,17:04.5,41:00.0,41:00.0,23:18.0
2116071,BL4PrdDDC06,BL4,NULL,00:00.0,00:00.0,36:38.3,36:38.3,10:00.0,10:00.0,00:00.0
2116072,OS2PrdDDC02,OS2,NULL,00:00.0,00:00.0,18:20.5,18:20.5,37:00.0,37:00.0,52:11.0
2116073,BY4PrdStr09,BY4,NULL,00:00.0,00:00.0,38:45.4,38:45.4,53:00.0,53:00.0,00:00.0
2116074,BL5PrdStr07,BL5,NULL,00:00.0,00:00.0,17:49.1,17:49.1,51:00.0,51:00.0,00:00.0
2116075,AM5PrdStr02,AM5,NULL,00:00.0,00:00.0,48:22.1,48:22.1,00:00.0,00:00.0,00:00.0
2116076,DB6PrdStr01,DB6,NULL,00:00.0,00:00.0,31:29.4,31:29.4,00:00.0,00:00.0,00:00.0
2116077,BL5PrdStr02,BL5,NULL,00:00.0,00:00.0,20:05.9,20:05.9,00:00.0,00:00.0,00:00.0
2116078,BL5PrdStr01,BL5,NULL,00:00.0,00:00.0,31:40.8,31:40.8,00:00.0,00:00.0,00:00.0
2116079,BY4PrdStr04,BY4,NULL,00:00.0,00:00.0,40:41.3,40:41.3,00:00.0,00:00.0,00:00.0
2116080,BY4PrdStr03,BY4,NULL,00:00.0,00:00.0,10:04.8,10:04.8,00:00.0,00:00.0,00:00.0
2116106,DM3PrdStr04,DM3,NULL,00:00.0,00:00.0,15:20.7,15:20.7,00:00.0,00:00.0,00:00.0
2116107,BN4PrdStr05,BN4,NULL,00:00.0,00:00.0,26:31.2,26:31.2,00:00.0,00:00.0,00:00.0
2116150,BL5PrdStr03,BL5,NULL,00:00.0,00:00.0,35:32.1,35:32.1,00:00.0,00:00.0,00:00.0
2116151,BY4PrdStr05,BY4,NULL,00:00.0,00:00.0,09:14.5,09:14.5,00:00.0,00:00.0,00:00.0
2116152,CH1PrdStr07,CH1,NULL,NULL,00:00.0,NULL,00:00.0,NULL,00:00.0,NULL
2116153,SN3PrdStr07,SN3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2121872,BL5PrdStr04,BL5,NULL,00:00.0,00:00.0,15:45.1,15:45.1,32:00.0,32:00.0,00:00.0
2121958,SY3PrdDDC06,SY3,NULL,00:00.0,00:00.0,29:06.7,29:06.7,00:00.0,00:00.0,00:00.0
2117759,BY3PrdStp04,BY3,NULL,00:00.0,00:00.0,58:17.2,58:17.2,37:00.0,37:00.0,00:00.0
2117760,DB5PrdStp01,DB5,NULL,00:00.0,00:00.0,48:21.7,48:21.7,00:00.0,00:00.0,00:00.0
2117761,SG2PrdStp02,SG2,NULL,00:00.0,00:00.0,35:15.5,35:15.5,23:00.0,23:00.0,00:00.0
2117766,BN3PrdStp04,BN3,NULL,00:00.0,00:00.0,05:01.7,05:01.7,00:00.0,00:00.0,00:00.0
